user,qid,images,pid,context,percent,comment,outer_link,code_id,news,biggest,repeat,typing,like,share,detect_time,row_index,visible time,discuss,discuss_reason,picture_number,color
U1,1,1660594480000-2022-08-16-04-14-40-111-Facebook.jpg,0,會首頁最愛c,0.107476809,0,0,1,0,0,0,0,0,0,2022/8/16 04:14,0,0,0, ,1,"rgba(2,22,105,1)"
U1,1,1660594480000-2022-08-16-04-14-40-111-Facebook.jpg,1,"(2)公視新聞網PNNO昨天下午320有立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度標準,也沒有送第三方公正單位測試實驗室驗證防護能力,恐伯無法有效保護國軍安全。國防部回應表示...查看更多news.pts.org.tw陳椒華質疑國軍頭盔安全有虞國防部:已送國外知名實驗室檢驗|公視新聞網PNN***90Tiendownie40則留言,1次分享",0.601113173,0,0,2,1,1,0,0,0,0,2022/8/16 04:14,1,0,0, ,1,"rgba(5,61,180,1)"
U1,1,1660594480000-2022-08-16-04-14-40-111-Facebook.jpg,2,大紀元時報-台nchTimes開始截圖,0.031410019,0,0,3,1,0,0,0,0,0,2022/8/16 04:14,2,0,0, ,1,"rgba(0,68,255,1)"
U1,1,1660594481000-2022-08-16-04-14-41-111-Facebook.jpg,0,會首页最愛最新nO,0.107476809,0,0,1,0,0,0,0,0,0,2022/8/16 04:14,3,0,0, ,2,"rgba(2,22,105,1)"
U1,1,1660594481000-2022-08-16-04-14-41-111-Facebook.jpg,1,"(3)公視新聞網PNNO昨天下午3:206有立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度標準,也沒有送第三方公正單位測試實驗室驗證防護能力,恐怕無法有效保護國車安全。國防部回應表示,頭盔都有|送國際知名實驗室檢驗,另外凹陷度部分,美軍目前也沒有相關規範,因為除了避免造到子彈貫穿,更重要的是頭盔是否有吸震能力,避免頭顱遭到撞擊重創,或導致頸椎斷裂。news.pts.org.tw陳椒華質疑國軍頻盔安全有腐国防部:已送國外知名實驗室檢驗|公視新聞網PNN2*990AYOTCHIUS開始我图40則留言,1次分享:",0.632523191,0,0,2,1,1,0,0,0,0,2022/8/16 04:14,4,0,0, ,2,"rgba(5,61,180,1)"
U1,1,1660594482000-2022-08-16-04-14-42-111-Facebook.jpg,0,"首页會①²990昨天下午320,0有立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度標準,也沒有送第三方公正單位測試實驗室驗證防護能力,恐怕無法安全。國防部回應表示,頭盔都有送國際知名實驗室檢驗,另外凹陷度部分,美軍目前也沒有相關規範,因為除了避免造到子彈貫穿,更重要的是頭盔是否有吸震能力,避免頭顱遭到撞擊重創,或導致頸椎斷裂。news.pts.org.tw陳椒華質疑國軍頭盔安全有成國防部:已送國外知名實驗室檢驗|公視新聞PNN網EXIGE有效保護國散中最新c(40則留言,1次分享分享20",0.74,0,0,2,1,1,0,0,0,0,2022/8/16 04:14,5,0,0, ,3,"rgba(5,61,180,1)"
U1,1,1660594484000-2022-08-16-04-14-44-111-Facebook.jpg,0,"是致頸椎***首页网新也沒有送第三方公正單位測試實驗室驗證防護能力,恐伯無法有國防部回應表示,頭盔都有效保護國軍安全。送國際知名有相規範實驗室檢沒關頭盔是否有wwwnews.pts.org.tw陳椒華質疑國軍頭盔安全有虞國防部:已送國外知名實驗室檢驗|公視新聞PNNLITERCORS斷90裂。吸,因為除了避免造到子避免頭力,顱遭震能網驗,另外凹陷c度部分,美軍目前也彈貫到撞擊重創,或導40則留言,1次分享穿,更重要的",0.6983859,0,0,2,1,1,0,0,0,0,2022/8/16 04:14,6,0,0, ,4,"rgba(5,61,180,1)"
U1,1,1660594484000-2022-08-16-04-14-44-111-Facebook.jpg,1,大紀元時報-台灣(TheEpochTimes-Taiwan).,0.0416141,0,0,3,1,0,0,0,0,0,2022/8/16 04:14,7,0,0, ,4,"rgba(0,68,255,1)"
U1,1,1660594486000-2022-08-16-04-14-46-112-Facebook.jpg,0,陳檢疫情動態首頁/政治國防部:已送國外張志播張梓嘉/台北:2022-08發布時間-112:506更新時間:2022-08-151216|頭盔陳椒華|国家椒驗中國aylones公視新聞網華質陳椒華質疑國軍頭盔安全有慮..K即時新聞專題策展觀點疑報導國這樣子會讓我們的國軍弟軍開始截圖實驗室.....頭盔知有虞安全實驗室名數位敘事公,0.74,0,1,2,0,1,0,0,0,0,2022/8/16 04:14,8,0,0, ,5,"rgba(5,61,180,1)"
U1,1,1660594487000-2022-08-16-04-14-47-112-Facebook.jpg,0,"T標24F結張志雄張梓嘉/台北報導(發布時間:2022-08-12:5616更新時間:2022-08115126花陳椒蛙|調軍问公找新聞網國際足,达不只以土檢驗有立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度,也沒有送第三方公正單位測試實驗室驗證能力,恐怕無法美國軍安全。國。準防護論先講LINE陳椒華質疑國軍頭盔安全有虞。這樣子會讓我們的國軍弟兄2Q大¡",0.74,0,1,2,0,1,0,0,0,0,2022/8/16 04:14,9,0,0, ,6,"rgba(5,61,180,1)"
U1,1,1660594488000-2022-08-16-04-14-48-112-Facebook.jpg,0,"2斷裂|公投新聞網陳椒草|國軍實驗室「頭盔PAN結論先講有標防立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度準,也沒有送第三方公正單位測試實驗室驗證護能力,恐怕無法有效保護國軍安全。國防部應表示,頭盔都有送國際知名實驗室檢驗,另外凹陷度部分,美軍目前也沒有相關規範,因為避免造到子彈貫穿,更重要是頭盔是否有吸震能力,避免頭顱遭到撞擊重創,或導致人回除了的。ESTNICA-陳椒華質疑國軍頭盔安全有。习時代力量立委這樣子會讓我們的四重弟2",0.74,0,1,2,0,1,0,0,0,0,2022/8/16 04:14,10,0,0, ,7,"rgba(5,61,180,1)"
U1,1,1660594489000-2022-08-16-04-14-49-112-Facebook.jpg,0,"望f斷裂輕量公視新聞網有標測結論先講立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度準,也沒有送第三方公正單位試實驗室驗證防護能力,恐怕無法有效保護國軍安全。國防部回應表示,頭盔都有送國際知名實驗室檢驗,另外凹陷度部分,美軍目前也沒有相關規範,因為避免造到子彈貫穿,更重要的除了是吸靂能力,避免頭顱遭到撞擊重創,或導致頸椎。戰鬥個人裝是在具滿備戰場上的重要工與安全防護,近年國軍持續改善,以足基層士官兵希與強化待。不過時代力量立委陳椒華質疑,國軍頭盔沒有做凹陷測試,也沒有化安期送第三公正單位檢驗,防護能力恐怕有問題。時代力量立委陳椒華質疑,「為什麼不訂防彈頭公視新聞網PNNO→V2國軍全的頭盔是否有現",0.74,0,1,2,0,1,0,0,0,0,2022/8/16 04:14,11,0,0, ,8,"rgba(5,61,180,1)"
U1,1,1660594490000-2022-08-16-04-14-50-112-Facebook.jpg,0,"公視新聞網凹結論先講標有立委質疑國軍戰鬥個裝的頭盔沒有訂出凹陷度準,也沒有送第三方公正單位測試實驗室驗證防護能力,恐怕無法有效保護國軍安全。國防部應表示,頭盔都有送國際知名實驗室外凹陷度部分,美軍目前也沒有相關規範,因為除了避免造到子彈貫穿,更重要的是頭盔是否有能力,避免頭顱遭到撞擊重創,或導致頸椎回檢驗,另吸震斷裂。具與望戰鬥個人裝備是國軍在戰場上的重要工安全防護,近年國軍持續改善,以滿足基層士官兵希輕量化與強化安全的期待。不過時代力量立委華質疑,國盔沒有做凹陷測試,也沒送第三公正單位檢驗,防護能力恐怕有問題。陳椒軍頭有時代力量立委陳椒華質疑,「為什麼不打防彈頭什麼不訂?這樣為子盔的陷?測試的標準",0.74,0,1,2,0,1,0,0,0,0,2022/8/16 04:14,12,0,0, ,9,"rgba(5,61,180,1)"
