user,qid,images,pid,context,n_main,percent,comment,outer_link,code_id,news,picture_number,keyword,biggest,repeat
U2,2,1660056535000-2022-08-09-22-48-55-413-Facebook.jpg,0,nan,0,0.071923077,0,0,0,0,1,0,0,0
U2,2,1660056535000-2022-08-09-22-48-55-413-Facebook.jpg,1,"當世界上各種文化及思潮之間的衝突越來越激烈的今天,阿翰對阮网妍的爭議,寫出了這樣的回應,你怎麼花不開他。這已經超越所谓「危機處理」、「公園模範」的磨次了。真正好的回應,其實就只是一颗温柔容|良,願意情感與反思的真心,而同餘就是這樣的人。阿翰的作品裡即使有刻板印象,也一直不忘記添加一抹正面的色彩,也不忘在模仿的同時,小小顛覆一下負面的板印象,这是他的作品途人的際問。謝謝阿险,不只帶來精彩的模仿作品,也在這次危機裡,讓我們知道如何在多元的台灣,他個溫振而包容的人。從發布三年三班手工融條的那天開始,我一就著往過去的生活起人之一專乾8-19140阿翰po影片-1829,帶給大家歡笑,而",0,0.668076923,0,0,1,0,1,0,1,0
U2,2,1660056536000-2022-08-09-22-48-56-413-Facebook.jpg,0,nan,0,0.071923077,0,0,0,0,2,0,0,0
U2,2,1660056536000-2022-08-09-22-48-56-413-Facebook.jpg,1,"當世界上各種文化及思潮之間的衝突越來越激烈的今天,阿翰你對阮月嬌的爭議,寫出了這极的這已經超越所谓「危機處理」、「公關模範」的層次了。真正好的回應,其實就只是一颗很柔容良,願意領麗與反思的真心,而阿翰就是這极的人。阿翰的作品裡即使有刻板印象,也一直不忘記添加一抹正面的色彩,也不忘在模仿的同時,小小顛覆一下負面的刻板印象,這是他的作品图人的原因。謝謝阿翰,不只帶來精彩的模仿作品,也在這次危機裡,讓我們知道如何在多元的台灣,他說表而代容的人從發布三年三班手工藝的那天開始,我一直常就著往過去的生活經驗、人物去找出一些特點唤起大家的共鳴,帶給大家歡笑。而|侯宗佑阿翰po影片-1639-0-19140x",0,0.668076923,0,0,1,0,2,0,1,0
U2,2,1660056537000-2022-08-09-22-48-57-413-Facebook.jpg,0,nan,0,0.063681319,0,0,0,0,3,0,0,0
U2,2,1660056537000-2022-08-09-22-48-57-413-Facebook.jpg,1,"回|小小人的當世界上各種文化及思潮之間的衝突越來越激烈的今天,阿翰你對阮网妍的爭議,寫出了道极的記添加一從發這已經超越所谓「危機處理」、「公關模龍」的厝次了。真正好的回應,其實就只是一顆溫柔容些特良,查情態與反思的真心,而同翰就是通模的人。阿翰的作品裡即使有刻板印象,也一直不忘應,你怎麼能不能他。振而包容的謝謝阿難,不只帶來精彩的模仿作品,也在這次危機裡,讓我們知道如何在多元的台灣,如個溫直常試著往過原萌覆一下负面的刻板印象,這是他的作品逐點因。布三年三班手工融化的那天開始,我一阿翰po影片1-16300-1914唤起大家抹正面的色彩,也不忘在模仿的同時,人。去的的生活經驗、人物去找出一共鳴,帶給大家歡笑,而",0,0.676318681,0,0,1,0,3,0,1,0
U2,2,1660056538000-2022-08-09-22-48-58-413-Facebook.jpg,0,nan,0,0.048571429,0,0,0,0,4,0,0,0
U2,2,1660056538000-2022-08-09-22-48-58-413-Facebook.jpg,1,"「這|回應,人的已謝謝阿翰,危機裡洲包容的人振當世界上各種文化及思潮之間的衝突国交游激烈的今天經直嘗試著從過去小小幅质一下負面的刻板印了層次。真正好的回應,其實就只是一顆溫柔善度,劇情聽與反思的真心,而同的就是该權的裡即使有刻板印象,也一直不忘人。阿翰的作品一抹正面的記添加從發布三年三班手工薯條原|侯宗佑笑些特點唤起大家的共鳴,帶給大家歡這樣拍影片下東也。超因你怎麼能不能,阿翰對阿翰po影片8-1639-19140越所。讓我們知,不只谓「。帶來精當機阮的生色彩道如月也。多五處理」嬌活經何,也不忘在模仿彩的模仿作品,也在這次年的爭議在多驗了象的那天開始,我一元、「公、人物去找出一,這是她的作品迷,的台灣。依個溫寫出了這樣的關模範的同时。,而」的",0,0.691428571,0,0,1,0,4,0,1,0
U2,2,1660056539000-2022-08-09-22-48-59-413-Facebook.jpg,0,"謝謝阿翰侯宗佑元危機裡,讓我們知道如何在多遭而包容的人當世界上各種文化及思弱之間的衝突越來越激烈的今天,阿翰面對阮月嬌回應,你复底能不能性。」、「公關模訊真這已經超越所谓「危機處理圖次了。真正好的回應,其贵就只是一颗溫柔雅良,關商情聽與反思的心,而阿翰就是垃圾的人。阿翰的作品裡即使有刻板印象也一直不忘添加一抹正確的彩,也不忘在模仿的同時,小小熱量一下負面的刻板印象,這是他的作品迷,|纪色人的原因。阿翰品影片8-1639-0布三年三班手從發工薯條的那天開始直想試著從過去的生活經驗,人物去共鳴,帶給大家歡笑。而找出一盐特點唤起大家的這樣拍影片下来也滿五年了。-1914-0,不只帶來精彩的模。的爭議仿作的台,寫品出了灣,也在這次,我一,個保溫這根的」的",0,0.74,0,0,1,0,5,0,1,0
U2,2,1660056540000-2022-08-09-22-49-00-413-Facebook.jpg,0,"良直,嘗侯宗佑小小顛覆一人的原因。這已經超越所谓「危機處理」、騰次了。真正好的回應,其實頻聽與反思的真心識,而從發布三年三班手工關條的那天,人開試著往過的生活經驗當世界上各種文化及思潮之間的衝突越来越激烈爭議,寫出了這樣的的今天,阿翰你對际问题的回應麼能不讚他。,你怎人。阿難的作品裡即使有刻板不忘紀添加一球正面的色彩,也不忘在模仿的同時,象,這是她的作品迷板印如灣,謝謝阿餘,不只帶來精彩的模仿作品,也在這次危機裡,讓我們知道何在多元的台做個逗爱而包容阿翰po影片的人-1829-0蓝特點唤起大家的共鳴,帶給大家歡笑-19140下負面去的刻」的「公關模链就只是一顆溫柔着同始就是迪權的物去找出一始,我一,而",0,0.74,0,0,1,0,6,0,1,0
U2,2,1660056541000-2022-08-09-22-49-01-413-Facebook.jpg,0,"8-1914當世界上各種文化及思潮之間的衝突越來越激烈的爭議,寫的今天,阿翰鹿射阮月嬌,你怎麼能不能,出了這樣的回應範的良,嚴心,而這已經超越所谓「危機處理」、「公園模層次了。真正好的回應,其實就只是一颗温柔性意領聽與反思的真開始就是培根的人。阿翰的作品裡即使有刻板印象,也一直不忘記添加一抹正直的色彩,也不忘在模仿的同時,小酸盤一下負面的刻板印象,這是他的作品迷人的原因。阿難,不只帶來精危機裡,讓我們知道如人。小謝謝彩何在多元的台灣台回溫雅而包容的阿翰po影片-1539-0從發布三年三班手工饕條的那天開始,我一直常試著從過去的生活經驗、人物去找出一些特影機照大家的共場,帶給大家歡笑,而這樣拍影片來也滿五下年了,的模仿作品,也在這次",0,0.74,0,0,1,0,7,0,1,0
U2,2,1660056542000-2022-08-09-22-49-02-413-Facebook.jpg,0,"度直宿法阿翰po影片-16:39謝謝阿難,不只帶來精彩的模仿危機裡,讓我們知道如何在多我而包容的人。元試著當世界上各種文化及思潮之間的衝突越來越激烈,寫出了這樣的的今天,阿翰面對阮月嬌的爭議|回應,你怎麼能不認他。層一,願這已經超越所谓「危機處理」、「公關模範」的次了。真正好的回應,其實就只是顆溫柔善意情聽與反思的真心,而同餘就是這樣的。阿翰的作品裡即使有刻板印象,也一直不定記添加一抹正面的色彩,也不忘在模仿的同時,小小顛覆一下負面的刻板印象,這是他的作品迷人去從發布三年三班手工層作的那天開始,我的生活經驗人物去找出一些特點唤起大家的共鳴,帶給大家歡笑,而五年了、下來也滿。從過作品,也在通次的台灣,依個溫",0,0.74,0,0,1,0,8,0,1,0
U2,2,1660056543000-2022-08-09-22-49-03-413-Facebook.jpg,0,"-19:148當世界上各種文化及思潮之間的衝突越來越激烈,寫出了這栈的層次良的今天,阿翰對阮月嬌的爭議回應,你怎麼能不能信,這已經超越所谓「危機處理」、「公關模範」的了。真正好的回應,其實就只是一顆溫柔善,願意個聽與反思的真心,而同餘就是這樣的人。阿翰的作品裡即使有刻板印象,也一直不忘記添加一抹正面的色彩,也不忘在模仿的同时,小小顛覆下負面的板印象,這是他的作品迷人的誘因謝謝阿险一。,不只帶來精彩的模仿作品,也在這次何在多元的台灣,依個區如阿危機裡,讓我們知道多而民享的人。翰po影片-1829e在發布三年三班手工藝後的那天開始,我一直冒試著從過去的生活經驗、人物去找出一些特點唤起大家的共鳴,帶給大家歡笑,而這樣拍影片下來也滿五年了。",0,0.74,0,0,1,0,9,0,1,0
U2,2,1660056544000-2022-08-09-22-49-04-413-Facebook.jpg,0,"殊.阿翰po影片1-16:30-3「公關模範」的良回應,你怎麼能不愛他。這已經超越所谓「危機處理」、歷次了。真正好的回應,其實就只是一顆溫柔器,願意情願與反思的真心,而阿翰就是通极的人。阿翰的作品裡即使有刻板印象,也一直不忘記添加一抹正露的色彩,也不忘在模仿的同時,|小小萌雷一下負面的刻板印象,這是他的作品图人的原因。謝謝阿翰,不只帶來精彩的模仿作品,也在這危機裡,讓我們知道如何在多元的台灣,做個溫|次大家歡笑,而從發布三年三班手工融保的那天開始,我一直宫試著往過去的生活經驗、人物去找出一些特點唤起大家的共鳴,帶給【機拍影片下來也滿五年了。而我創造角色的特點是運用大眾熟知的刻板印象,再進行重組發伐形形色色不同的角看完影片很喜歡,笑得很色,很多人我知道看金家查~",0,0.74,0,0,1,0,10,0,1,0
U2,2,1660056545000-2022-08-09-22-49-05-413-Facebook.jpg,0,"2012印象0%級車牌昌府出版以用八中FAWEATUR,再進行重組變成形形色色不同人看完影片很喜歡,笑得很的角色,我知道很多跪․查看更多288-329*",0,0.658461538,0,0,2,0,11,0,1,0
U2,2,1660056545000-2022-08-09-22-49-05-413-Facebook.jpg,1,"齊心核力,共陳家揚,加入推薦社群,探索你的脚规境",0,0.081538462,0,0,3,0,11,0,0,0
U2,2,1660056546000-2022-08-09-22-49-06-413-Facebook.jpg,0,"00192印象回,再進行重組變成形形色色不同的角我知道很多人看完影片很喜歡,笑得很跪查看更色,多你分行服",0,0.655714286,0,0,2,0,12,0,1,0
U2,2,1660056546000-2022-08-09-22-49-06-413-Facebook.jpg,1,"齊心力,共創輝煌陳家揚,加入推薦社群,探索你的脚",0,0.084285714,0,0,3,0,12,0,0,0
U2,2,1660056547000-2022-08-09-22-49-07-413-Facebook.jpg,0,"品看不公平批椒木站到一些討論。關於模仿在實器上的確可能影弱勢软释造成俯言,基本上大多数論述我也都是同意的。不過影也想要的微觉醒一個坦步派常見的富點:習慣去要求已經努力的人,卻刻一些明颜完全棄守&不及格的東西沒有給予份量更重的批評。我覺得這足的。這種人常常說「E視網大家都知道,所以我不想花時間批評,我評B,是因為造成的傷害更甜改,我覺得值得被拖出來」的是:沒有,大眾並沒有都知道它殺場,他們只會看到你批評而不批評E,所以會覺得有問題,在沒有問題,但實際上,受眾最廣,也對社大傷害的,常常就是E。我也常常里端個毛病,所以特別提出一下自己。..查看更多13500李勤常和他們可能會量准公分,6侯宗佑王泽勒可由單宙射線不足這樣Q我想說會造成很來提醒",2,0.74,1,0,4,0,13,0,1,0
